 	liver	liver	liver	lung	lung	lung	spleen	spleen	spleen
TFB2M	4.717	4.8817	5.8234	5.9721	4.8997	7.5214	3.3577	6.8613	5.5023
VCY	7.1115	7.4496	7.1626	8.0835	6.9283	8.8424	5.1942	5.9063	5.5066
LOC728723	4.3434	4.7913	4.9197	6.6067	5.5304	6.6783	4.1841	3.7045	4.2026
CA4	7.174	5.6358	6.4845	5.6257	4.2613	6.6116	4.101	5.5069	4.2758
CC2D2B	4.7293	4.8265	4.9434	6.3383	4.5563	8.0709	4.8298	5.1216	5.0244
DVL3	6.4951	8.0957	8.1636	7.1295	7.316	8.4183	5.3664	7.3116	4.3696
SMG7	6.4201	6.5768	6.8885	7.9973	7.2088	8.0598	4.3111	5.1165	5.5905
DSG1	5.5058	5.4353	5.8621	6.2835	7.2511	6.6099	4.287	5.7001	3.338
SH3YL1	7.631	7.6881	6.9163	7.9016	3.8616	8.0739	9.4061	6.663	7.3857
DLL3	6.0288	6.4628	7.1751	6.669	6.0362	7.3242	2.8045	2.7507	3.4122
TRIOBP	8.5218	8.6579	8.3537	7.8044	7.801	8.7408	5.5624	8.4508	5.8173
GNB2	5.6965	6.5008	7.188	6.5443	5.3398	7.9703	3.5313	5.5092	4.1353
COL18A1	5.274	6.2159	6.3357	5.7574	5.5509	6.7727	8.992	7.4989	7.6784
DPEP3	7.4095	7.8428	8.6495	7.9313	6.0441	8.6224	5.0057	5.838	4.0083
N4BP2L2	6.2649	5.9184	6.137	6.705	7.0692	7.1744	8.0106	9.3722	7.4014
LOC100129455	8.7498	9.6245	9.9137	8.7037	7.4317	9.2782	5.8901	8.3413	6.708
GNRHR2	6.7618	7.3704	7.8207	7.5778	6.8853	7.4494	4.0066	6.1351	4.7619
SLC37A4	6.3298	5.4318	5.4015	4.5852	4.5663	5.8549	2.7553	5.6048	4.3444
MGC13053	5.2099	5.2447	5.1824	4.5013	3.4453	6.6172	3.7027	4.92	3.166
LOC729991-MEF2B	7.7787	7.7447	7.8958	6.8284	5.2576	7.9526	6.1348	8.3275	3.781
TNNI1	3.7476	4.4516	5.3668	5.5563	3.8497	6.1698	4.8286	6.9466	4.0724
FAM113B	6.9774	7.4522	7.2447	7.91	7.9902	7.6552	9.3179	11.3075	11.0589
RBM38	7.2412	7.7307	7.6914	6.6672	6.6691	7.4352	2.9424	5.8299	4.968
RASA3	5.7179	4.8186	5.8381	5.2309	5.3773	6.4268	3.2646	3.3006	4.5119
HIF3A	5.1927	5.6205	6.7736	5.7264	4.1862	6.9738	4.6006	5.4186	3.39
MAGT1	5.8592	6.0986	6.2158	4.6242	3.3115	6.6743	4.0848	4.3243	3.85
BPIL2	4.9924	6.0407	6.2709	7.7468	5.9313	8.318	4.7869	7.0553	5.4193
ASXL2	9.4453	8.4277	6.4189	6.4338	5.8621	7.9632	7.0396	7.3507	7.5741
LOC400655	6.1258	5.275	5.0372	3.4763	4.0931	5.1948	3.1289	3.2573	2.5008
RPL23A	6.5447	6.7399	7.6735	7.8547	5.605	8.5344	4.1909	8.1732	6.8334
TSPAN31	5.8184	7.1225	7.6838	7.5989	5.8001	8.1325	5.2292	4.8421	3.8454
C7orf10	4.4133	5.8512	3.8067	5.5415	5.2761	6.903	4.3506	3.2882	4.2545
MAN2A2	2.4515	3.7976	3.041	5.5835	4.0009	6.8183	2.5655	4.5072	3.7722
LOC100128093	4.9654	6.3774	5.4935	5.706	5.7872	7.5643	3.8648	3.7035	5.6904
ACTRT2	9.2139	10.0811	9.6275	9.8613	9.5193	9.9297	6.2217	9.9279	7.3608
GATAD1	7.0828	8.0721	7.3971	7.1733	3.2573	7.6123	3.9932	6.6229	5.0547
CD209	3.8032	5.6276	3.7836	3.9092	3.1353	6.7143	3.3441	4.4279	3.6696
SC4MOL	6.726	6.5488	7.2301	7.5873	4.8823	7.9213	3.848	4.6102	3.817
FITM2	6.5257	6.5088	6.3463	7.4163	4.5046	7.8565	4.5788	7.2134	4.7018
LOC388946	6.9669	6.8389	7.5128	6.4935	5.2188	7.5946	3.5825	4.8506	4.2617
CDAN1	3.8691	4.309	4.3154	3.7532	2.7215	6.6838	3.4299	3.522	4.4012
MRPS22	6.053	6.3351	7.5646	6.8179	4.6054	7.0703	2.9669	2.6866	2.3296
EFHD1	7.1861	7.136	7.8838	7.8043	6.9103	9.0697	4.3215	6.5332	6.5585
OBFC2A	6.9498	4.4312	3.8906	5.6941	5.3801	5.6224	8.6943	7.8012	7.4394
PGCP	4.3317	5.9185	6.7761	5.4735	5.8589	6.6296	4.309	5.2435	3.5616
RAB5C	5.9925	6.4938	6.7991	5.3132	3.7946	5.9493	4.4419	5.1146	3.9378
KRT14	4.3697	6.7974	6.8722	7.0229	5.5853	8.2143	5.6973	6.2772	4.684
C11orf17	6.2804	7.1061	6.5919	5.9399	4.2014	6.9698	6.5488	4.4019	4.0065
DCPS	4.5899	4.476	6.4383	3.7993	3.9809	5.4629	4.9298	3.3566	2.9854
TMPRSS13	5.0653	3.8681	4.3199	5.5918	4.3419	6.6144	3.0783	5.1113	2.6315
CCDC157	2.6565	3.9429	2.745	3.6441	3.3774	5.9512	2.6184	2.8146	2.3805
SLC25A32	5.2541	4.2723	4.9343	6.4438	4.7789	7.5822	4.025	5.1013	4.1433
LOC642397	6.6758	7.526	7.7222	5.104	4.5852	6.7272	7.6177	6.6183	6.9033
ZNF367	3.7974	3.7833	4.424	5.4853	4.8058	6.344	3.2709	3.1592	3.6007
BTAF1	5.1949	6.2577	5.8783	6.3506	3.7184	6.5104	3.8467	5.042	4.2272
KIF2A	4.2599	5.5056	6.3417	4.9701	5.9639	7.1719	3.6201	5.9826	3.4727
C1orf187	6.3115	6.7382	5.7804	6.1618	4.8167	7.8865	4.1899	7.3494	6.0906
VPS25	7.5936	6.9196	6.5458	8.6033	7.1309	9.0002	5.3756	6.2781	6.4483
ABCF1	5.6008	6.1955	6.6366	7.0154	4.8743	7.3817	4.4852	6.3639	4.2634
RNF38	3.9045	3.4804	3.5981	4.6984	3.396	6.0831	2.2439	3.3181	2.891
SIL1	6.5123	8.2524	8.7914	8.858	7.1892	9.168	5.3776	7.984	7.9676
STX17	8.201	8.3079	8.1722	8.6192	8.6946	8.4219	9.8736	11.896	11.3412
C11orf44	5.2812	7.4492	6.261	6.9635	5.2566	8.2396	5.1319	4.8495	4.6349
ICAM5	6.6879	6.8601	7.2384	7.0873	5.2611	6.2405	4.6201	4.5718	3.5912
EBNA1BP2	9.2244	8.113	7.5637	6.6544	9.1309	5.611	8.3369	7.9151	8.629
SDR42E1	5.3868	6.251	5.9564	5.6717	4.5694	6.6061	7.5389	5.3197	3.9811
KCNV1	5.6423	6.6478	6.6406	3.8555	3.9698	5.2384	3.8023	7.0436	5.2157
TMEM59	5.9863	5.826	6.3643	7.1921	4.3388	8.2172	3.8446	5.975	4.3032
CHRM1	3.6731	5.3088	4.7804	2.7221	3.0308	5.5299	4.287	2.7875	3.338
EGFL7	4.0931	4.9493	3.5369	3.8185	2.3301	4.7747	2.6869	4.3465	7.7542
CARHSP1	5.7931	5.1648	5.8094	5.0428	4.5595	6.7113	4.006	3.8959	3.3451
C9orf27	4.6679	5.4398	5.0291	6.0246	5.2816	5.8839	7.2187	8.3466	5.0324
STXBP1	6.3191	5.7865	7.0527	6.4258	5.4172	7.672	4.1738	4.4492	3.5536
MED23	3.5938	4.9066	3.1552	4.6878	2.4694	5.8556	2.7961	3.5486	2.4829
LOC730101	2.6072	4.4084	3.8677	4.1614	2.6092	6.3228	2.5286	3.0758	4.101
CAPZA2	6.4956	5.4651	5.6892	5.4963	4.7418	6.5365	9.2263	8.6496	8.4941
SPATS2	5.7217	5.7916	6.5696	6.6049	4.452	8.2639	4.0048	6.3069	4.3329
NCOA2	4.9519	5.375	4.2916	5.3689	5.7965	6.4853	8.8337	8.6704	7.7006
GNL3	5.6439	6.9699	7.2018	6.1453	4.7913	6.6478	5.493	6.1869	3.2789
LOC283484	4.4172	6.015	4.7872	3.9332	2.9173	6.5905	2.8097	3.3878	2.8624
IFIT2	4.4413	6.2953	6.159	3.7345	3.9036	4.4358	3.2522	5.8308	3.8747
BPNT1	3.5104	5.1042	4.9052	3.3655	3.1178	5.2723	2.3085	3.0481	2.8911
DIP2A	4.1084	6.1097	6.0806	4.809	3.0574	6.4571	2.5094	4.6479	4.0627
C4orf33	3.8516	5.0183	5.5779	5.519	5.0005	7.4338	2.2439	4.3818	5.3312
CIAPIN1	4.6181	5.6559	4.879	5.9439	5.7109	6.29	7.4627	9.8669	7.3556
DIP2B	4.9749	6.1378	4.0198	4.3346	3.0451	6.5085	3.1296	3.8573	3.6888
IQCF6	6.0488	6.5707	6.7169	6.2247	4.6623	7.8936	3.5116	5.2652	3.7121
ARPP19	6.8832	7.0438	7.1798	8.2624	7.5197	9.0176	5.3993	6.642	5.6915
TMEM116	7.9881	7.7265	7.8972	7.4113	7.6749	7.6148	10.5496	10.3099	9.8721
UBE2B	6.1889	7.6526	6.8676	7.9257	7.3022	8.724	4.3888	6.8576	6.3279
LOC100287808	5.4183	3.3097	4.4736	5.2696	3.7198	6.3226	3.2981	3.8185	5.4063
LOC100287499	6.0025	3.3302	5.0951	3.5164	4.1354	5.0722	2.7041	3.1377	4.0842
GBE1	3.7887	3.986	5.5984	6.009	4.6386	6.5925	3.1577	5.769	4.2969
TM9SF1	7.7243	7.6595	8.1509	7.6228	7.4223	8.513	4.4937	7.6026	6.6786
GUSBP1	7.5296	7.9183	8.1838	6.681	4.7459	7.0199	7.6795	6.1774	4.0058
C20orf166	6.3048	6.4792	7.1053	7.6985	6.6284	8.3503	5.6895	7.8517	4.3101
RPL37	9.5856	9.9021	9.9284	10.1239	9.8075	10.57	6.4888	8.7956	8.1053
HOXA3	6.5442	6.6506	6.8317	6.5517	5.6527	7.8008	5.4611	5.2889	3.8619
DKFZp547J222	6.8895	5.2658	7.7268	5.4517	4.8071	6.6425	6.2065	4.7221	4.3577
IGBP1	4.2401	4.3572	4.8354	5.828	4.2741	6.7463	3.3424	3.6348	3.4423
C16orf91	2.8662	5.7355	5.6038	4.8144	4.1454	5.9497	3.7628	7.1244	5.2667
C7orf70	5.2024	4.882	3.729	6.2064	4.9711	6.9019	3.4085	4.439	4.8906
TXLNG	6.4913	7.4692	7.3256	8.2296	7.851	7.8756	9.4837	11.6385	11.1087
USP48	4.7564	5.975	5.8084	6.4335	5.0982	7.3443	3.653	4.7148	4.6529
MBLAC1	6.5174	6.3521	7.5687	7.1258	5.3715	7.8519	4.5938	4.2159	3.9748
ATP6V1E2	6.1303	7.5883	7.5272	7.4174	5.9881	7.4682	3.9382	5.5149	3.7832
DENND1B	6.1308	7.8805	7.3752	6.1031	3.8487	8.2014	5.7874	6.8254	5.4788
GORASP1	8.3678	8.8065	8.9284	9.3296	9.0051	8.9158	10.3941	12.4355	11.7652
SLC15A3	5.8033	7.1457	6.1516	7.0281	4.2461	7.5008	3.8032	6.2085	5.1086
ADAT3	7.0004	6.558	7.448	8.3892	6.9214	8.4691	4.1396	6.1142	6.5949
AREGB	7.4416	7.1252	7.8903	6.2767	6.0627	7.3783	5.2365	5.3388	5.076
CDHR3	6.7204	6.0995	5.094	3.9519	2.4239	4.9855	5.439	6.6866	5.7244
NTRK3	4.5621	4.2785	4.2303	5.1728	5.0672	6.9506	3.1918	4.8748	3.1441
PRSS30P	7.9727	7.6125	7.3533	7.3406	5.6954	7.9852	4.1343	7.445	6.9353
NSUN5P2	5.6877	6.1212	5.5779	5.3681	3.8341	7.6994	4.0375	4.5475	3.8176
KRT20	7.273	6.521	7.2041	7.3718	5.957	7.6786	3.0243	6.6007	5.7907
LOC728690	5.3641	5.2372	6.287	5.3529	3.5777	7.0307	3.7836	5.1509	3.9383
FAM66C	4.3798	4.9644	4.9244	6.369	5.2533	7.5719	4.6497	4.0589	4.7826
QRICH1	6.5557	5.6989	6.7671	4.9926	3.6409	6.3786	4.3237	5.1048	4.4582
CLGN	3.9629	4.3847	6.1932	5.277	3.499	5.547	4.3768	3.3841	2.8443
PET117	6.1192	7.1093	7.3897	4.5947	4.4688	5.9876	6.7729	4.7857	3.987
CHST9	6.1437	6.0229	6.1508	6.8258	5.737	7.6318	3.3407	6.1678	5.591
GUCA2A	6.4858	7.4723	6.893	8.335	8.1671	7.4228	9.0469	10.9011	10.8328
NDFIP1	7.944	8.2693	8.4028	9.5366	9.1721	9.903	6.421	8.1657	7.0681
RPL36AL	7.3372	6.9002	6.9001	5.0928	4.7525	6.464	7.7631	5.8376	5.203
C10orf118	5.4672	5.3446	4.4548	5.9585	4.1582	7.5176	3.5183	4.6927	3.8977
TRIP11	5.1588	6.1348	6.0101	5.5811	3.5962	6.5454	3.5397	6.0444	3.9045
RNMT	7.2324	7.3748	7.4845	8.5384	7.2771	8.7036	4.4507	6.967	5.817
LOC100287008	6.9082	6.2087	7.2444	5.8933	6.2048	7.3112	3.7749	5.6437	4.5725
KIAA0485	6.8645	7.9943	7.2644	8.4076	6.878	9.2651	5.584	7.6798	6.3267
KLHL18	4.45	5.5618	5.3144	5.0632	3.8341	6.9016	3.5262	4.3716	3.0038
FCRLB	9.4799	9.4782	9.4275	9.2246	8.5355	10.0325	6.245	9.13	8.6105
LOC200830	4.8679	6.2814	5.9272	5.5124	4.1132	6.8239	3.0504	6.0435	4.9771
LOC255177	11.1683	11.2692	11.2471	10.2667	10.0625	10.4372	7.4826	10.002	10.1517
SIP1	6.34	6.1702	4.7804	5.9678	6.2773	6.0617	3.4122	5.3693	3.0623
SCAND1	7.489	8.3284	7.5869	9.635	9.4047	9.2518	7.2233	6.7532	7.1402
NR1D2	5.1585	5.1841	5.827	5.8455	4.1756	7.7088	2.622	3.5558	3.1543
HESX1	5.7713	5.666	6.0943	3.9166	3.5276	5.4277	3.933	3.5585	2.799
SGK269	3.4173	6.0857	5.5903	5.0008	4.4528	6.7775	3.3808	4.7041	4.324
LOC401913	5.7938	4.7889	5.2059	5.3723	4.0846	6.2936	3.2021	3.3244	3.7608
GNG8	4.8275	4.9977	5.7028	5.2939	5.043	6.9844	3.1388	4.722	2.9614
TTTY15	6.5769	5.6014	7.3936	7.2914	5.6428	7.6518	4.3282	6.7143	5.4898
SYTL4	4.893	6.7389	5.826	4.3249	4.4613	5.6855	4.155	7.0863	4.6946
LOC730236	9.7427	10.2508	10.0008	9.3916	9.26	10.2366	6.4866	8.8833	8.8674
NCR1	6.0225	5.8456	6.442	5.874	4.1986	7.0762	5.0736	5.1729	3.1967
MGC4473	3.6811	5.128	3.8861	5.3656	4.8824	6.8909	3.4921	2.483	4.4437
CRTAC1	5.791	3.1466	3.558	5.3248	3.7492	6.2363	3.2646	3.5537	4.5699
FBLN1	5.5898	3.3651	4.9402	5.682	6.1227	6.2269	3.3424	2.7875	4.2099
LOC100128737	5.2291	3.9425	3.4949	5.256	5.6544	6.0138	2.9726	3.6074	2.6066
DDIT4	4.916	6.7392	4.8892	5.9932	3.9904	6.4087	3.8315	6.29	4.3117
SNORA78	5.3613	4.8798	4.6948	4.7206	2.9236	5.1637	2.8118	2.6736	2.9849
CNTN1	5.1405	6.7293	6.24	7.3499	6.0233	7.4255	3.3931	5.0876	5.204
DAPK3	3.1551	6.5897	4.2776	5.1182	3.8228	7.3911	4.0479	2.4641	3.146
CDKN1A	8.8304	9.3291	9.6177	8.4517	7.5558	9.2631	6.1547	7.9316	7.2185
DCAF5	3.2007	5.7317	6.4276	5.3963	4.8998	6.8802	4.1934	5.01	4.16
KIAA0415	7.1249	7.9555	7.7863	8.5401	6.9619	8.8138	3.6191	7.1226	5.7196
FIS1	5.4372	5.3362	6.3104	6.0198	3.6927	7.6529	2.455	4.8694	2.4441
TRAF6	8.1901	8.2214	8.4219	6.8136	4.4493	7.5859	6.957	6.0237	4.8547
KCNK9	3.7662	4.2593	4.8723	4.9237	4.6396	6.8996	3.6826	3.862	2.4636
CISD3	4.1466	3.8241	2.5463	3.6851	3.6752	3.1742	5.7899	4.3182	5.9155
TMEM154	9.378	9.5097	9.9571	9.0635	7.9203	9.6151	6.8677	8.1696	6.8506
ZBTB48	4.842	4.9681	4.8298	5.3081	4.6516	6.8677	2.704	2.4384	4.022
KIAA1430	8.2635	8.0228	8.8666	8.325	7.0863	8.6594	5.1341	7.4165	6.3146
C20orf160	6.3556	7.4603	7.1053	6.99	7.1483	8.3574	2.6245	5.6584	5.0287
DYNLL1	7.2255	7.2975	7.9806	6.1771	4.3289	7.3521	4.9563	7.6167	5.2803
IL17F	2.5144	6.1364	5.1836	5.8091	6.0006	7.2084	4.287	5.2213	3.7692
MOCOS	3.5192	3.9602	5.0814	4.4528	2.9076	5.7799	3.1969	5.5179	5.4989
EFCAB1	7.7927	7.7086	7.8583	8.5859	8.4322	8.0248	8.8157	11.3077	10.9862
MRRF	6.0618	5.1229	7.1733	4.0844	3.952	5.6117	3.9802	5.1862	3.5099
POLR2F	9.1817	10.2313	10.1823	10.4035	10.1759	10.7116	6.8173	9.8997	8.2324
CYP2A6	6.159	4.2099	6.0925	6.9149	3.2573	4.8071	5.2689	4.5639	2.9053
C2orf29	3.9181	5.4686	3.3146	5.3534	2.8649	5.8976	3.8745	3.49	2.9824
FAM71A	6.4759	6.28	7.2223	6.9334	5.6908	7.2011	3.1156	7.0582	5.8904
FLJ39653	4.2838	6.7493	6.2877	6.8786	6.233	7.685	4.1833	6.3663	5.9932
JMJD4	6.8709	6.1253	6.4159	7.1382	6.7189	7.4461	3.766	6.4391	4.5378
LOC158572	3.8775	6.398	6.306	5.5768	4.3082	7.211	2.7245	2.7051	3.6575
C11orf72	7.1986	8.2811	7.6404	8.1157	8.0022	8.264	9.2377	11.2588	11.0882
EFCAB5	7.6503	7.6709	8.5616	7.3156	6.5607	8.2742	10.1887	9.7578	9.5615
SEC23A	5.4948	6.106	6.7133	7.3114	4.8686	8.5741	3.1028	7.1249	5.9733
AMBRA1	7.5765	7.0552	7.8392	8.1475	6.8658	8.1566	4.7255	7.6007	6.385
TRIM72	5.6006	5.75	4.6056	5.6436	3.9563	6.4148	7.2854	9.3531	7.0227
PRR22	7.3795	8.7379	8.135	8.7056	8.2993	9.1201	4.4479	7.5811	6.3513
LOC100287375	3.4105	4.1456	4.7517	4.8889	3.1909	6.6171	3.0773	2.8836	2.8445
ME1	4.9308	6.8487	4.7726	7.2885	5.5225	7.8873	2.9574	4.6848	4.2537
DGKQ	6.3973	6.5108	7.5063	6.8197	5.6845	7.4327	4.5775	3.0854	4.5258
LCE1E	4.6637	3.3668	4.8326	4.3446	4.0911	6.1047	2.5723	3.963	2.921
VRK2	5.4839	5.6037	4.8702	5.7223	3.9669	7.19	3.1388	5.1685	4.2497
LOC728554	6.7008	7.2794	7.9028	5.9586	5.7902	8.2296	5.6429	8.4396	6.4546
LOC285830	11.4649	11.6516	11.5728	12.3224	11.8568	12.4603	9.6451	8.7153	9.7263
DDX26B	6.5482	6.8033	7.4996	6.7529	4.5571	7.7857	4.6054	6.0977	5.6811
LOC100287411	9.0526	8.8266	9.7128	8.9189	7.629	9.6251	6.7537	7.9444	6.371
NCRNA00168	6.9796	7.0783	7.9449	5.41	4.5557	6.8788	5.6604	6.0282	4.9941
PCMT1	5.4613	4.9844	6.2999	5.5733	4.9135	7.6233	3.5085	3.6036	5.8158
HSP90B1	5.9352	4.8169	7.2602	6.1128	5.324	7.2516	4.4004	4.8451	3.7847
GTF3A	5.2511	5.519	6.6038	6.535	5.1292	7.5207	3.1954	4.5219	4.6909
ZMYND8	5.9277	6.5697	7.2366	6.4316	4.276	7.1531	3.68	5.1404	3.5387
AP1S2	4.7071	2.9908	5.8914	6.4043	4.69	6.4384	3.4311	5.5311	4.6415
TCEANC	6.1817	7.2102	7.6713	5.4649	4.8504	5.2008	8.1332	7.2618	6.1544
TMPRSS12	6.0252	6.6421	6.3285	6.2135	4.6601	6.4662	2.8807	5.0493	3.4751
SCGB2A1	7.1826	7.5723	7.5493	5.8436	5.9851	7.297	3.6014	6.6566	5.1716
C17orf77	3.9838	5.0879	6.0652	5.5882	3.9903	7.3085	6.2021	4.3056	4.1937
EEF1D	7.8561	7.8908	8.6411	7.7135	6.6597	8.7101	5.7583	7.5191	5.9176
GALP	5.2177	3.7447	5.6316	4.6206	5.0068	5.2121	8.6996	7.6272	7.5399
PCP2	4.4996	6.6916	6.1176	6.6255	5.225	7.037	6.9249	8.8296	7.188
C9orf43	6.8716	8.2509	8.4219	9.1522	8.8049	9.1861	6.5289	8.5307	6.4026
PPT1	4.9961	5.6732	4.7489	6.148	4.6787	7.5349	4.1087	6.7459	5.3737
C1orf191	10.319	9.4408	9.057	9.3921	10.4376	8.892	10.9875	12.4648	12.0031
OASL	7.6775	7.3789	8.7134	7.8974	5.4954	8.2393	5.4435	6.6833	4.318
LOC100288671	8.3113	7.7518	8.366	7.9019	7.5845	8.2853	4.9831	8.1674	8.2538
RPL22L1	7.3875	7.9989	7.7515	8.5345	8.056	9.1598	4.4814	7.0239	7.1493
PPAP2B	2.988	4.5069	4.0524	5.1611	3.0621	6.5278	2.8968	3.1493	2.8705
TMEM133	5.4624	5.5877	5.9178	5.9292	6.1895	7.2581	3.3441	6.3198	4.5837
TFB2M	4.4732	6.3018	6.9223	6.2472	5.4025	7.6136	4.3561	6.5358	5.7974
GALE	4.14	5.0763	4.9937	5.9297	4.9498	7.2501	3.5628	5.9561	5.2595
PKIG	6.6222	8.1923	7.3655	7.9684	6.2817	8.888	5.0799	7.2669	6.7008
